Name;Hex;Group
Pink ;#FFC0CB;pink
LightPink ;#FFB6C1;pink
HotPink ;#FF69B4;pink
DeepPink ;#FF1493;pink
PaleVioletRed ;#DB7093;pink
MediumVioletRed ;#C71585;pink
Lavender ;#E6E6FA;purple
Thistle ;#D8BFD8;purple
Plum ;#DDA0DD;purple
Orchid ;#DA70D6;purple
Violet ;#EE82EE;purple
Fuchsia ;#FF00FF;purple
Magenta ;#FF00FF;purple
MediumOrchid ;#BA55D3;purple
DarkOrchid ;#9932CC;purple
DarkViolet ;#9400D3;purple
BlueViolet ;#8A2BE2;purple
DarkMagenta ;#8B008B;purple
Purple ;#800080;purple
MediumPurple ;#9370DB;purple
MediumSlateBlue ;#7B68EE;purple
SlateBlue ;#6A5ACD;purple
DarkSlateBlue ;#483D8B;purple
RebeccaPurple ;#663399;purple
Indigo  ;#4B0082;purple
LightSalmon ;#FFA07A;red
Salmon ;#FA8072;red
DarkSalmon ;#E9967A;red
LightCoral ;#F08080;red
IndianRed  ;#CD5C5C;red
Crimson ;#DC143C;red
Red ;#FF0000;red
FireBrick ;#B22222;red
DarkRed ;#8B0000;red
Orange ;#FFA500;orange
DarkOrange ;#FF8C00;orange
Coral ;#FF7F50;orange
Tomato ;#FF6347;orange
OrangeRed ;#FF4500;orange
Gold ;#FFD700;yellow
Yellow ;#FFFF00;yellow
LightYellow ;#FFFFE0;yellow
LemonChiffon ;#FFFACD;yellow
LightGoldenRodYellow ;#FAFAD2;yellow
PapayaWhip ;#FFEFD5;yellow
Moccasin ;#FFE4B5;yellow
PeachPuff ;#FFDAB9;yellow
PaleGoldenRod ;#EEE8AA;yellow
Khaki ;#F0E68C;yellow
DarkKhaki ;#BDB76B;yellow
GreenYellow ;#ADFF2F;green
Chartreuse ;#7FFF00;green
LawnGreen ;#7CFC00;green
Lime ;#00FF00;green
LimeGreen ;#32CD32;green
PaleGreen ;#98FB98;green
LightGreen ;#90EE90;green
MediumSpringGreen ;#00FA9A;green
SpringGreen ;#00FF7F;green
MediumSeaGreen ;#3CB371;green
SeaGreen ;#2E8B57;green
ForestGreen ;#228B22;green
Green ;#008000;green
DarkGreen ;#006400;green
YellowGreen ;#9ACD32;green
OliveDrab ;#6B8E23;green
DarkOliveGreen ;#556B2F;green
MediumAquaMarine ;#66CDAA;green
DarkSeaGreen ;#8FBC8F;green
LightSeaGreen ;#20B2AA;green
DarkCyan ;#008B8B;green
Teal ;#008080;green
Aqua ;#00FFFF;blue
Cyan ;#00FFFF;blue
LightCyan ;#E0FFFF;blue
PaleTurquoise ;#AFEEEE;blue
Aquamarine ;#7FFFD4;blue
Turquoise ;#40E0D0;blue
MediumTurquoise ;#48D1CC;blue
DarkTurquoise ;#00CED1;blue
CadetBlue ;#5F9EA0;blue
SteelBlue ;#4682B4;blue
LightSteelBlue ;#B0C4DE;blue
LightBlue ;#ADD8E6;blue
PowderBlue ;#B0E0E6;blue
LightSkyBlue ;#87CEFA;blue
SkyBlue ;#87CEEB;blue
CornflowerBlue ;#6495ED;blue
DeepSkyBlue ;#00BFFF;blue
DodgerBlue ;#1E90FF;blue
RoyalBlue ;#4169E1;blue
Blue ;#0000FF;blue
MediumBlue ;#0000CD;blue
DarkBlue ;#00008B;blue
Navy ;#000080;blue
MidnightBlue ;#191970;blue
Cornsilk ;#FFF8DC;brown
BlanchedAlmond ;#FFEBCD;brown
Bisque ;#FFE4C4;brown
NavajoWhite ;#FFDEAD;brown
Wheat ;#F5DEB3;brown
BurlyWood ;#DEB887;brown
Tan ;#D2B48C;brown
RosyBrown ;#BC8F8F;brown
SandyBrown ;#F4A460;brown
GoldenRod ;#DAA520;brown
DarkGoldenRod ;#B8860B;brown
Peru ;#CD853F;brown
Chocolate ;#D2691E;brown
Olive ;#808000;brown
SaddleBrown ;#8B4513;brown
Sienna ;#A0522D;brown
Brown ;#A52A2A;brown
Maroon ;#800000;brown
White ;#FFFFFF;white
Snow ;#FFFAFA;white
HoneyDew ;#F0FFF0;white
MintCream ;#F5FFFA;white
Azure ;#F0FFFF;white
AliceBlue ;#F0F8FF;white
GhostWhite ;#F8F8FF;white
WhiteSmoke ;#F5F5F5;white
SeaShell ;#FFF5EE;white
Beige ;#F5F5DC;white
OldLace ;#FDF5E6;white
FloralWhite ;#FFFAF0;white
Ivory ;#FFFFF0;white
AntiqueWhite ;#FAEBD7;white
Linen ;#FAF0E6;white
LavenderBlush ;#FFF0F5;white
MistyRose ;#FFE4E1;white
Gainsboro ;#DCDCDC;grey
LightGray ;#D3D3D3;grey
Silver ;#C0C0C0;grey
DarkGray ;#A9A9A9;grey
DimGray ;#696969;grey
Gray ;#808080;grey
LightSlateGray ;#778899;grey
SlateGray ;#708090;grey
DarkSlateGray ;#2F4F4F;grey
Black ;#000000;black
